0,53
1,86
2,99
2,37
2,64
2,95
3,21
3,29
4,93
5,0
5,54
6,25
6,50
6,55
6,68
7,20
7,44
7,81
7,97
8,17
8,33
9,25
9,29
9,82
9,92
11,23
11,91
11,95
12,39
12,94
12,97
13,33
13,56
13,81
14,49
15,35
15,38
15,58
15,64
16,8
16,18
16,28
16,35
16,38
16,92
17,13
17,23
17,62
17,86
17,88
18,99
18,46
18,48
18,76
18,92
19,20
19,53
20,6
20,32
20,47
20,98
21,13
21,48
21,67
22,9
22,13
22,35
22,86
22,88
23,4
24,16
24,95
25,1
25,13
25,51
26,31
26,37
26,70
26,74
26,90
27,12
28,18
28,37
28,43
28,96
29,35
29,49
29,88
29,91
30,8
30,24
30,81
30,95
31,11
31,63
31,81
31,83
32,42
32,46
32,51
32,82
33,73
34,37
34,44
34,47
34,59
35,8
35,10
35,56
35,85
36,4
37,36
37,40
37,69
37,95
38,24
39,38
39,92
40,8
40,52
41,8
41,17
41,84
42,67
43,44
44,5
44,53
44,67
44,98
45,64
45,73
45,74
45,82
45,85
46,50
46,52
46,78
46,88
47,28
47,48
47,64
47,73
48,26
48,29
48,43
48,54
48,71
49,5
49,84
49,88
50,15
50,49
50,63
50,73
51,6
51,20
51,47
51,90
52,67
52,68
53,0
53,1
53,10
54,40
54,57
54,86
55,0
55,12
56,24
56,53
56,88
57,18
57,50
57,56
58,24
58,99
59,2
59,11
59,93
60,1
60,37
60,59
60,77
61,16
61,17
61,29
61,32
62,58
62,87
63,22
63,52
63,76
64,17
64,20
64,31
65,76
66,3
66,60
66,64
66,79
66,86
67,4
67,17
67,60
68,0
68,28
68,60
68,69
69,23
69,46
69,49
72,30
72,40
73,14
73,36
73,42
73,44
73,70
73,99
73,88
75,38
75,53
75,84
75,86
75,98
76,62
76,65
76,68
76,74
76,92
76,97
77,50
77,76
78,9
78,11
78,23
78,57
79,7
80,0
80,96
81,39
81,52
82,21
82,33
82,80
83,10
83,16
83,45
84,67
84,85
85,23
85,67
86,0
86,62
87,13
87,15
87,67
87,74
87,93
88,21
88,27
89,28
89,77
89,99
90,26
90,30
90,48
90,67
90,86
91,21
91,80
92,25
92,28
92,53
92,74
92,99
93,0
93,39
93,85
94,32
94,38
94,90
95,52
95,79
95,82
96,25
96,39
96,64
96,87
96,91
96,98
97,1
97,13
97,22
98,15
98,24
98,30
98,34
99,10
99,87
